month,year,day,lat,long
10,2013,20,56.8,77
10,2013,21,47.83333,30.76667
10,2013,21,51.15,31.7
10,2013,22,30.73111,66.80222
10,2013,22,50.75,33.5
10,2013,22,41.11667,45
10,2013,22,55.78333,61.36667
10,2013,22,42.25,59.2
10,2013,23,37.05,138.38333
10,2013,23,29.68333,78.38333
10,1950,11,44.51667,39.3
10,1952,03,10.83333,76.03333
10,1952,12,55.2,75.33333
10,1954,19,32.03333,130.63333
10,1955,22,47.08333,1.75
10,1956,19,20.66667,-101.28333
10,1957,16,-37.33333,-61.53333
10,1957,21,-31.23333,-58.16667
10,1957,22,44.28333,5.58333
10,1959,19,26.78333,82.71667
10,1961,03,48.76667,0.63333
10,1961,03,21.86667,76.03333
10,1961,19,24.45,78.56667
10,1961,22,47.7,1.06667
10,1965,06,43.75,5.11667
10,1965,14,58.85,16.73333
10,1965,21,46.24167,126.19611
10,1966,19,47.75,16.23333
10,1966,20,33.13333,115.16667
10,1966,22,51.9,-1.11667
10,1966,22,52.45,51.56667
10,1966,23,47.16667,0.43333
10,1967,02,48.53333,-0.86667
10,1967,13,35.88333,-99.33333
10,1967,19,-25.66667,28.36667
10,1967,20,52.66667,-6.96667
10,1968,00,34.58333,-87.5
10,1968,20,52.26667,32.85
10,1969,16,48.35,3.25
10,1970,00,50.36667,4.73333
10,1970,01,-26.15,26.18333
10,1970,16,56.65,15.86667
10,1970,17,52.56667,-8.78333
10,1970,19,52.75,12.9
10,1970,19,31.63333,118.98333
10,1970,21,50.2,14.85
10,1970,23,37.91667,-92.08333
10,1971,22,56,26.43333
10,1972,01,29.53333,71.8
10,1972,04,26.96556,72.62667
10,1972,20,38.70066,-77.21163
10,1972,23,38,-0.83333
10,1972,23,36.00833,-95.15
10,1973,01,38.25,-85.75
10,1973,15,52,19.91667
10,1973,20,24.95,75.15
10,1973,20,32.03333,-84.76667
10,1973,21,24.8,103.3
10,1973,21,56.21667,13.03333
10,1973,21,61.2,27.7
10,1973,22,19,97
10,1974,01,-5.2,-36.66667
10,1974,18,-15.21222,35.24222
10,1974,20,-28.83333,31.95
10,1974,20,25.91667,86.36667
10,1974,21,-7.75,111.53333
10,1975,21,40.41667,-3.71667
10,1975,22,-26.16667,-49.93333
